proteins	genes	gene_name	kcat	rxns	notes	stoicho
Q46856	b3011	yqhD	10.0193056436704	13PPDH2	Heckmann-Dataset S1C	1
Q46856	b3011	yqhD	8.77203237400417	13PPDH2_REV	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	24.9412421205754	23PDE2pp	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	24.9412421205754	23PDE4pp	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	24.9412421205754	23PDE7pp	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	24.9412421205754	23PDE9pp	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPEAT120	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPEAT140	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPEAT141	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPEAT160	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPEAT161	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPEAT180	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPEAT181	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPGAT120	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPGAT140	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPGAT141	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPGAT160	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPGAT161	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPGAT180	Heckmann-Dataset S1C	1
P31119	b2836	aas	4.27830584222986	2AGPGAT181	Heckmann-Dataset S1C	1
P75682	b0268	yagE	5.21653540222097	2DDARAA	Heckmann-Dataset S1C	1
P39359	b4298	yjhH	5.21653540222097	2DDARAA	Heckmann-Dataset S1C	1
P75682	b0268	yagE	4.44671650209795	2DDARAA_REV	Heckmann-Dataset S1C	1
P39359	b4298	yjhH	4.44671650209795	2DDARAA_REV	Heckmann-Dataset S1C	1
P37666	b3553	ghrB	4.98740807075617	2DGULRGx	Heckmann-Dataset S1C	1
P37666	b3553	ghrB	7.94967517744325	2DGULRGy	Heckmann-Dataset S1C	1
P37666	b3553	ghrB	4.98740807075617	2DGULRx	Heckmann-Dataset S1C	1
P37666	b3553	ghrB	7.94967517744325	2DGULRy	Heckmann-Dataset S1C	1
P77247	b1727	hxpB	13.2447698987952	2DOXG6PP	Heckmann-Dataset S1C	1
P46891	b0446	cof	13.2447698987952	2DOXG6PP	Heckmann-Dataset S1C	1
P27848	b3826	yigL	13.2447698987952	2DOXG6PP	Heckmann-Dataset S1C	1
P77625	b2293	hxpA	13.2447698987952	2DOXG6PP	Heckmann-Dataset S1C	1
Q46845	b2989	yghU	10.0716945436083	2HESR	Heckmann-Dataset S1C	1
P77526	b2302	yfcG	10.0716945436083	2HESR	Heckmann-Dataset S1C	1
P77181	b1400	paaY	18.2921770402979	2HPTCOAT	Heckmann-Dataset S1C	1
P0AEI6	b1134	nudJ	7.5975929923852	2MAHMP	Heckmann-Dataset S1C	1
P46891	b0446	cof	7.5975929923852	2MAHMP	Heckmann-Dataset S1C	1
P75895	b1009	rutD	41.6517242342344	3AMACHYD	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD100	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD100	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD120	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD120	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD121	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD121	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.7238623506414	3HAD140	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.7238623506414	3HAD140	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD141	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD141	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.7238623506414	3HAD160	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.7238623506414	3HAD160	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD161	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD161	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD180	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD180	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD181	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD181	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD40	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD40	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.7238623506414	3HAD60	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.7238623506414	3HAD60	Heckmann-Dataset S1C	1
P0A6Q3	b0954	fabA	4.39387451614104	3HAD80	Heckmann-Dataset S1C	1
P0A6Q6	b0180	fabZ	4.39387451614104	3HAD80	Heckmann-Dataset S1C	1
P0A8Y8	b0597	entH	6.92589213957476	3HBZCT	Heckmann-Dataset S1C	1
P77397	b0347	mhpA	5.73475014712646	3HCINNMH	Heckmann-Dataset S1C	1
P23883	b1300	puuC	5.3927538893854	3HPADHi	Heckmann-Dataset S1C	1
P77397	b0347	mhpA	5.73475014712646	3HPPPNH	Heckmann-Dataset S1C	1
P37677	b3580	lyx	7.7935251969048	3KGK	Heckmann-Dataset S1C	1
P00634	b0383	phoA	26.0925894155051	3NTD2pp	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	26.0925894155051	3NTD2pp	Heckmann-Dataset S1C	1
P00634	b0383	phoA	21.9537427390778	3NTD4pp	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	21.9537427390778	3NTD4pp	Heckmann-Dataset S1C	1
P00634	b0383	phoA	26.0925894155051	3NTD7pp	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	26.0925894155051	3NTD7pp	Heckmann-Dataset S1C	1
P00634	b0383	phoA	26.0925894155051	3NTD9pp	Heckmann-Dataset S1C	1
P08331	b4213	cpdB	26.0925894155051	3NTD9pp	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.66311126869771	3OAR100_REV	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.66311126869771	3OAR120_REV	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.66311126869771	3OAR140_REV	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.66311126869771	3OAR160_REV	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.17741184962385	3OAR180	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.06552584681538	3OAR180_REV	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.06552584681538	3OAR40_REV	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.66311126869771	3OAR60_REV	Heckmann-Dataset S1C	1
P0AEK2	b1093	fabG	5.66311126869771	3OAR80_REV	Heckmann-Dataset S1C	1
P0AAI5	b1095	fabF	5.92034460327097	3OAS100	Heckmann-Dataset S1C	1
P0A953	b2323	fabB	5.92034460327097	3OAS100	Heckmann-Dataset S1C	1
P0AAI5	b1095	fabF	5.92034460327097	3OAS120	Heckmann-Dataset S1C	1
P0A953	b2323	fabB	5.92034460327097	3OAS120	Heckmann-Dataset S1C	1
P0AAI5	b1095	fabF	4.19282309762856	3OAS140	Heckmann-Dataset S1C	1
P0A953	b2323	fabB	4.19282309762856	3OAS140	Heckmann-Dataset S1C	1
P0AAI5	b1095	fabF	5.92034460327097	3OAS160	Heckmann-Dataset S1C	1
P0A953	b2323	fabB	5.92034460327097	3OAS160	Heckmann-Dataset S1C	1
P0AAI5	b1095	fabF	5.92034460327097	3OAS180	Heckmann-Dataset S1C	1
P0A953	b2323	fabB	5.92034460327097	3OAS180	Heckmann-Dataset S1C	1
P0AAI5	b1095	fabF	5.92034460327097	3OAS60	Heckmann-Dataset S1C	1
P0A953	b2323	fabB	5.92034460327097	3OAS60	Heckmann-Dataset S1C	1
P0AAI5	b1095	fabF	5.92034460327097	3OAS80	Heckmann-Dataset S1C	1
P0A953	b2323	fabB	5.92034460327097	3OAS80	Heckmann-Dataset S1C	1
P0C7L2	b1397	paaJ	6.59778308232384	3OXCOAT	Heckmann-Dataset S1C	1
P33913 + P33916 + P0AFU0 + P33915	b2177 and b2180 and b2178 and b2179	yejA + yejF + yejB + yejE	6.16253252869977	3PEPTabcpp	Heckmann-Dataset S1C	1
P0AFH6 + P77737 + P0AFH2 + P77348 + P76027	b1245 and b1247 and b1244 and b1329 and b1246	oppC + oppF + oppB + mppA + oppD	6.16253252869977	3PEPTabcpp	Heckmann-Dataset S1C	1
P0AFH6 + P77737 + P76027 + P0AFH2 + P23843	b1245 and b1247 and b1246 and b1244 and b1243	oppC + oppF + oppD + oppB + oppA	6.16253252869977	3PEPTabcpp	Heckmann-Dataset S1C	1
P0A9V8	b3882	yihU	7.48524159294397	3SLAR	Heckmann-Dataset S1C	1
P46883	b1386	tynA	20.5167543333707	42A12BOOXpp	Heckmann-Dataset S1C	1
P76052 + P77357	b1337 and b1338	abgB + abgA	35.4055116366341	4ABZGLUH	Heckmann-Dataset S1C	1
P76052 + P77357	b1337 and b1338	abgB + abgA	6.23040391550792	4ABZGLUH_REV	Heckmann-Dataset S1C	1
P75823	b0870	ltaE	13.9136776986161	4HTHRA	Heckmann-Dataset S1C	1
P75823	b0870	ltaE	3.33744250073237	4HTHRA_REV	Heckmann-Dataset S1C	1
P00547	b0003	thrB	3.34738015798494	4HTHRK	Heckmann-Dataset S1C	1
P76008	b1192	ldcA	17.9131183641197	4PCP	Heckmann-Dataset S1C	1
P0AFV4	b2175	mepS	12.2100308227317	4PCPpp	Heckmann-Dataset S1C	1
P33913 + P33916 + P0AFU0 + P33915	b2177 and b2180 and b2178 and b2179	yejA + yejF + yejB + yejE	6.17726180909412	4PEPTabcpp	Heckmann-Dataset S1C	1
P23843 + P77737 + P0AFH2 + P0AFH6 + P76027	b1243 and b1247 and b1244 and b1245 and b1246	oppA + oppF + oppB + oppC + oppD	6.17726180909412	4PEPTabcpp	Heckmann-Dataset S1C	1
P0A9P9	b4266	idnO	44.1917064260468	5DGLCNR	Heckmann-Dataset S1C	1
P0A9P9	b4266	idnO	40.7055797862128	5DKGR	Heckmann-Dataset S1C	1
P37769	b2842	kduD	40.7055797862128	5DKGR	Heckmann-Dataset S1C	1
P0A9P9	b4266	idnO	7.08438771382553	5DKGR_REV	Heckmann-Dataset S1C	1
P37769	b2842	kduD	7.08438771382553	5DKGR_REV	Heckmann-Dataset S1C	1
P32143	b3883	yihV	7.41711643919261	6D6SFK	Heckmann-Dataset S1C	1
P32141	b3881	yihT	41.469124247573	6D6SPA	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	0.415177196960515	AACPS1	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	3.76112320556721	AACPS2	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	2.16834205221814	AACPS3	Heckmann-Dataset S1C	1
P31119 + P0A6A8	b2836 and b1094	aas + acpP	2.44626436685676	AACPS4	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	2.06191272909666	AACPS5	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	3.76112320556721	AACPS6	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	1.67871775655375	AACPS7	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	3.76112320556721	AACPS8	Heckmann-Dataset S1C	1
P0A6A8 + P31119	b1094 and b2836	acpP + aas	0.0029854635202027	AACPS9	Heckmann-Dataset S1C	1
P56258	b4481	wecF	7.02372014918449	AADDGT	Heckmann-Dataset S1C	1
P26612	b1927	amyA	12.2514628892924	AAMYL	Heckmann-Dataset S1C	1
P25718	b3571	malS	10.5007897027625	AAMYLpp	Heckmann-Dataset S1C	1
Q46829	b2901	bglA	10.341849774767	AB6PGH	Heckmann-Dataset S1C	1
P24240	b2716	ascB	10.341849774767	AB6PGH	Heckmann-Dataset S1C	1
P11988	b3721	bglB	10.341849774767	AB6PGH	Heckmann-Dataset S1C	1
P77674	b1444	patD	9.82711567839092	ABUTD	Heckmann-Dataset S1C	1
P76459 + P76458	b2222 and b2221	atoA + atoD	10.1045867962457	ACACCT	Heckmann-Dataset S1C	1
P37766	b1694	ydiF	10.1045867962457	ACACCT	Heckmann-Dataset S1C	1
P21151	b3845	fadA	47.9316975036025	ACACT1r	Heckmann-Dataset S1C	1
P76461	b2224	atoB	47.9316975036025	ACACT1r	Heckmann-Dataset S1C	1
P76503	b2342	fadI	47.9316975036025	ACACT1r	Heckmann-Dataset S1C	1
P21151	b3845	fadA	7.22516165822894	ACACT1r_REV	Heckmann-Dataset S1C	1
P76461	b2224	atoB	7.22516165822894	ACACT1r_REV	Heckmann-Dataset S1C	1
P76503	b2342	fadI	7.22516165822894	ACACT1r_REV	Heckmann-Dataset S1C	1
